Dates,Gold,Silver,,,,
18.11.24 00:00,2568.13,30.303,,,,
18.11.24 00:05,2570.71,30.3365,,,,
18.11.24 00:10,2572.75,30.35825,,,,
18.11.24 00:15,2572.39,30.3655,,,,
18.11.24 00:20,2575.55,30.3865,,,,
18.11.24 00:25,2573.71,30.37275,,,,
18.11.24 00:30,2573.17,30.36375,,,,
18.11.24 00:35,2575.09,30.399,,,,
18.11.24 00:40,2574.38,30.3905,,,,
18.11.24 00:45,2573.37,30.39775,,,,
18.11.24 00:50,2573.22,30.405,,,,
18.11.24 00:55,2571.47,30.398,,,,
18.11.24 01:00,2571.68,30.3875,,,,
18.11.24 01:05,2571.59,30.39875,,,,
18.11.24 01:10,2571.99,30.399,,,,
18.11.24 01:15,2571.33,30.392,,,,
18.11.24 01:20,2571.2,30.3885,,,,
18.11.24 01:25,2571.34,30.38475,,,,
18.11.24 01:30,2571.32,30.391,,,,
18.11.24 01:35,2571.09,30.39175,,,,
18.11.24 01:40,2573.16,30.415,,,,
18.11.24 01:45,2574.6,30.44575,,,,
18.11.24 01:50,2576.83,30.459,,,,
18.11.24 01:55,2576.89,30.4758,,,,
18.11.24 02:00,2580.84,30.519,,,,
18.11.24 02:05,2577.73,30.45725,,,,
18.11.24 02:10,2580.14,30.4985,,,,
18.11.24 02:15,2581.63,30.5605,,,,
18.11.24 02:20,2589.7,30.6265,,,,
18.11.24 02:25,2593.98,30.6545,,,,
18.11.24 02:30,2596.36,30.6605,,,,
18.11.24 02:35,2594.36,30.61525,,,,
18.11.24 02:40,2591.15,30.59565,,,,
18.11.24 02:45,2588,30.5525,,,,
18.11.24 02:50,2588.8,30.5905,,,,
18.11.24 02:55,2587.21,30.57105,,,,
18.11.24 03:00,2590.2,30.591,,,,
18.11.24 03:05,2594.46,30.6315,,,,
18.11.24 03:10,2592.09,30.638,,,,
18.11.24 03:15,2592.49,30.65935,,,,
18.11.24 03:20,2594.03,30.6625,,,,
18.11.24 03:25,2593.64,30.6605,,,,
18.11.24 03:30,2591.71,30.6386,,,,
18.11.24 03:35,2592.22,30.6599,,,,
18.11.24 03:40,2592.49,30.6589,,,,
18.11.24 03:45,2591.52,30.645,,,,
18.11.24 03:50,2591.13,30.6495,,,,
18.11.24 03:55,2590.98,30.645,,,,
18.11.24 04:00,2591.59,30.6503,,,,
18.11.24 04:05,2591.32,30.656,,,,
18.11.24 04:10,2589.25,30.6055,,,,
18.11.24 04:15,2588.75,30.598,,,,
18.11.24 04:20,2588.69,30.6064,,,,
18.11.24 04:25,2589.5,30.6205,,,,
18.11.24 04:30,2589.32,30.625,,,,
18.11.24 04:35,2590.62,30.638,,,,
18.11.24 04:40,2589.27,30.625,,,,
18.11.24 04:45,2589.2,30.6285,,,,
18.11.24 04:50,2589.55,30.63125,,,,
18.11.24 04:55,2589.94,30.63315,,,,
18.11.24 05:00,2590.05,30.623,,,,
18.11.24 05:05,2591.65,30.6685,,,,
18.11.24 05:10,2590.76,30.658,,,,
18.11.24 05:15,2590.8,30.6595,,,,
18.11.24 05:20,2591.52,30.671,,,,
18.11.24 05:25,2591.77,30.68515,,,,
18.11.24 05:30,2591.5,30.6915,,,,
18.11.24 05:35,2591.46,30.69525,,,,
18.11.24 05:40,2591.37,30.70475,,,,
18.11.24 05:45,2592.8,30.72065,,,,
18.11.24 05:50,2593.11,30.721,,,,
18.11.24 05:55,2592.32,30.706,,,,
18.11.24 06:00,2590.46,30.6755,,,,
18.11.24 06:05,2590.25,30.668,,,,
18.11.24 06:10,2589.69,30.63975,,,,
18.11.24 06:15,2589.47,30.6235,,,,
18.11.24 06:20,2589.22,30.62565,,,,
18.11.24 06:25,2588.64,30.62925,,,,
18.11.24 06:30,2587.5,30.602,,,,
18.11.24 06:35,2585.95,30.5915,,,,
18.11.24 06:40,2585.57,30.60445,,,,
18.11.24 06:45,2586.58,30.60275,,,,
18.11.24 06:50,2586.84,30.608,,,,
18.11.24 06:55,2585.47,30.592,,,,
18.11.24 07:00,2582.24,30.5435,,,,
18.11.24 07:05,2583.5,30.55365,,,,
18.11.24 07:10,2585.27,30.621,,,,
18.11.24 07:15,2584.3,30.617,,,,
18.11.24 07:20,2584.9,30.654,,,,
18.11.24 07:25,2586.42,30.65865,,,,
18.11.24 07:30,2586.3,30.6595,,,,
18.11.24 07:35,2585.39,30.656,,,,
